record;date;QLANG;Q1;PROV;PROV2;QAB;QBC;QON;Q0QC;Q0QCA;Q0QCB;Q0QCC;Q0QCD;Q0QCE;Q0QCF;Q0QCG;REGIO;FSA;POSTAL6;age;sexe;SCOL;FOYr1;FOYr2;FOYr3;FOYr4;LANGU;Q2r1;Q2r2;Q2r3;Q2r4;Q3r1;Q3r2;Q3r3;Q3r4;Q3r5;Q4;Q5r1;Q5r2;Q5r3;Q5r4;Q5r5;Q5r96;Q6r1;Q6r2;Q6r3;Q6r4;Q6r5;Q6r6;Q6r7;Q7;Q8r1;Q8r2;Q8r3;Q8r4;Q8r5;Q8r6;Q8r7;Q9r2;Q9r3;Q9r4;Q10Ar1;Q10Ar2;Q10Ar3;Q10Ar4;Q10Ar5;Q10Ar6;Q10Ar7;Q10Ar8;Q10Ar9;Q10Ar10;Q10Ar11;Q10Ar12;Q10Ar13;Q10Ar14;Q10Ar15;Q10Ar16;Q10Ar17;Q10Ar18;Q10Ar19;Q10Ar20;Q10Ar96;Q10Br1;Q10Br2;Q10Br3;Q10Br4;Q10Br5;Q10Br6;Q10Br7;Q10Br8;Q10Br9;Q10Br96;Q10Br97;Q11r1;Q11r2;Q11r3;Q11r4;Q11r5;Q11r6;Q11r7;Q11r8;Q11r9;Q11r10;Q11r11;Q11r12;Q11r97;Q12A2;Q12A3;Q12B2;Q12B3;Q12C2;Q12C3;Q13r1;Q13r2;Q13r3;Q13r4;Q14;Q15;Q16r1;Q16r2;Q16r3;Q16r4;Q16r5;Q16r6;Q16r7;Q17r1;Q17r2;Q17r3;Q17r4;Q17B;Q17C;Q17D;Q18r1;Q18r2;Q18r3;Q18r4;Q18r5;BORN;REVEN;POL;EMPLO;ETAT;PROP;PROP2;COL;COMMENTAIRE;Pond
68;2022-02-08;2;5;7;6;;;;;;;;;;;;;E8J;E8J2V4;6;2;4;0;0;0;1;1;5;1;2;1;1;0;0;0;0;2;0;2;3;0;0;0;4;4;2;2;2;1;1;2;5;2;2;2;2;2;2;6;6;3;;;;;;;;;;;;;;;;;;;;;;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;4,00;4,00;12,00;12,00;8,00;8,00;4;1;2;3;2;2;3;5;5;5;3;3;4;5;4;4;3;2;;;2;4;4;2;5;1;2;99;6;3;1;1;4;Je fais tout ce que je peux pour recycler tout les produits recyclables et je fais attention à la polutio;1,09735
69;2022-02-08;1;4;5;4;;;59;;;;;;;;;;L3R;L3R4T2;2;2;5;0;0;0;5;2;5;4;2;4;1;0;1;1;1;2;0;2;0;0;0;0;1;1;1;1;5;4;4;6;3;5;3;3;5;5;5;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;0;0;2,50;2,50;5,00;5,00;5,00;4,50;4;3;2;1;2;2;2;3;2;4;1;4;3;4;4;4;4;1;;;1;1;5;1;5;2;3;3;3;1;1;2;1;;0,48313
70;2022-02-08;2;4;6;5;;;;16;;;46;;;;;1;J0L;J0L2R0;5;1;2;0;0;0;2;1;6;3;2;1;1;0;0;0;0;1;1;0;0;0;0;0;3;4;5;5;4;3;3;4;3;4;4;4;3;3;3;5;5;3;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;3,00;999,00;12,80;10,10;6,00;5,10;4;2;3;1;2;2;4;2;2;5;5;4;5;5;5;2;1;4;;6;1;4;5;1;5;2;7;4;1;3;1;1;4;;1,12117
71;2022-02-08;1;3;2;2;63;;;;;;;;;;;;T4J;T4J1V6;4;1;3;0;0;0;1;2;4;1;2;4;1;0;0;0;0;3;0;0;0;4;0;0;;;;;;;;7;3;3;3;3;3;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;1;0;0;0;0;1;0;0;0;0;0;0;0;999,00;999,00;999,00;999,00;999,00;999,00;4;3;1;2;4;4;2;2;2;2;2;2;2;3;3;3;3;1;;;3;5;1;5;3;1;10;6;1;3;1;1;4;;2,43516
72;2022-02-09;1;3;5;4;;;55;;;;;;;;;;P3N;P3N1K9;4;1;6;0;0;0;2;2;5;2;1;1;1;0;0;0;0;5;0;0;0;4;0;0;;;;;;;;2;2;4;3;2;5;3;4;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;1;0;0;0,00;3,00;7,00;9,00;3,20;5,50;4;2;1;3;2;4;1;1;2;3;2;2;2;4;3;3;3;2;;;4;4;1;4;3;1;9;7;1;1;1;3;3;;0,46433
73;2022-02-08;1;4;3;3;;;;;;;;;;;;;S0K;S0K0J0;6;2;2;0;0;0;2;2;5;2;1;4;1;0;0;0;0;2;0;0;0;4;0;0;;;;;;;;5;2;2;2;2;2;2;2;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;0;0;1;0;0;0;0;0;0;0;0;0;4,00;999,00;12,00;999,00;16,00;999,00;4;2;1;3;2;2;2;3;1;3;3;3;3;3;3;2;2;1;;;5;3;3;3;2;1;98;7;6;2;1;1;4;;0,95663
74;2022-02-08;1;5;5;4;;;52;;;;;;;;;;N4W;N4W2J7;2;1;5;0;0;0;1;2;5;2;1;5;1;0;0;0;0;3;0;0;0;4;0;0;;;;;;;;5;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2,00;2,00;9,10;10,10;5,50;6,50;3;2;1;4;1;1;2;4;4;3;4;3;3;4;4;4;4;4;;2;2;4;4;2;4;1;1;5;3;3;2;2;4;;0,52485
75;2022-02-08;1;4;10;6;;;;;;;;;;;;;A0G;A0G1E0;4;2;5;0;0;0;2;2;4;99;2;2;1;0;0;0;0;2;0;0;0;0;5;0;;;;;;;;5;3;4;3;3;4;4;4;3;2;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;3,50;4,00;10,00;12,00;6,00;8,00;4;1;3;2;2;2;3;2;2;4;2;5;5;5;5;3;2;4;;5;2;3;3;1;5;1;9;5;2;3;1;1;4;;0,40966
76;2022-02-08;1;5;5;4;;;51;;;;;;;;;;K7K;K7K6W5;4;1;4;0;0;0;0;2;6;2;2;3;1;0;0;0;0;2;0;2;0;0;0;0;4;3;3;4;5;2;2;3;5;4;2;2;2;3;3;3;4;3;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1,80;1,90;6,40;4,80;5,20;5,20;4;2;1;3;2;2;1;2;1;4;1;2;3;3;2;2;3;2;;;5;4;3;3;3;1;3;7;2;5;3;2;3;;1,27776
77;2022-02-08;1;5;3;3;;;;;;;;;;;;;S6H;S6H3S2;3;1;2;1;0;0;0;2;5;5;2;2;0;0;0;1;0;2;1;0;0;0;0;0;3;3;3;3;3;3;3;2;3;3;2;3;4;4;3;5;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;5,60;7,10;18,40;18,30;16,00;14,70;1;3;2;4;1;2;1;4;4;4;4;4;3;2;2;3;3;3;3;;4;4;4;4;4;1;5;6;1;1;1;2;3;;1,31145
